Hf-2(PCN-223)-O2 MAP 2.5 2.5

Labels	Ex1 360.00nm	Ex1 370.00nm	Ex1 380.00nm	Ex1 390.00nm	Ex1 400.00nm	Ex1 410.00nm	Ex1 420.00nm	Ex1 430.00nm	Ex1 440.00nm	Ex1 450.00nm	Ex1 460.00nm	Ex1 470.00nm	Ex1 480.00nm	Ex1 490.00nm	Ex1 500.00nm	Ex1 510.00nm	Ex1 520.00nm	Ex1 530.00nm	Ex1 540.00nm	Ex1 550.00nm	Ex1 560.00nm	Ex1 570.00nm	
649.00	2.72920000E+4	3.32600000E+4	3.90860000E+4	4.41710000E+4	5.35900000E+4	4.64920000E+4	3.01980000E+4	2.72950000E+4	3.34680000E+4	5.14590000E+4	5.16800000E+4	5.83190000E+4	5.13970000E+4	4.34150000E+4	4.84170000E+4	4.70850000E+4	3.07430000E+4	2.50990000E+4	2.94500000E+4	2.06850000E+4	1.18470000E+4	7.20100000E+3	
650.00	2.89700000E+4	3.56970000E+4	4.18130000E+4	4.74000000E+4	5.72160000E+4	5.02470000E+4	3.24180000E+4	2.94680000E+4	3.55810000E+4	5.48260000E+4	5.56840000E+4	6.26530000E+4	5.46750000E+4	4.39170000E+4	5.19300000E+4	5.10670000E+4	3.28780000E+4	2.70220000E+4	3.06090000E+4	2.23520000E+4	1.32220000E+4	7.55500000E+3	
651.00	3.14040000E+4	3.84680000E+4	4.51020000E+4	5.03300000E+4	6.13040000E+4	5.29150000E+4	3.46540000E+4	3.13310000E+4	3.86420000E+4	5.89580000E+4	6.00820000E+4	6.71220000E+4	5.80140000E+4	4.70760000E+4	5.55640000E+4	5.40270000E+4	3.54550000E+4	2.82210000E+4	3.26800000E+4	2.38870000E+4	1.40920000E+4	8.10400000E+3	
652.00	3.33690000E+4	4.11160000E+4	4.77100000E+4	5.38160000E+4	6.48610000E+4	5.65630000E+4	3.64690000E+4	3.36520000E+4	4.09690000E+4	6.25890000E+4	6.40040000E+4	7.14450000E+4	6.30260000E+4	5.05060000E+4	5.91720000E+4	5.77900000E+4	3.77840000E+4	3.07770000E+4	3.45410000E+4	2.53360000E+4	1.49480000E+4	8.50100000E+3	
653.00	3.51600000E+4	4.37120000E+4	5.04490000E+4	5.67650000E+4	6.77290000E+4	6.02850000E+4	3.93080000E+4	3.58400000E+4	4.39260000E+4	6.67530000E+4	6.77490000E+4	7.59380000E+4	6.63060000E+4	5.42780000E+4	6.35550000E+4	6.19780000E+4	4.04240000E+4	3.28720000E+4	3.23170000E+4	2.74420000E+4	1.61940000E+4	9.13500000E+3	
654.00	3.73500000E+4	4.58870000E+4	5.30300000E+4	5.92340000E+4	7.18380000E+4	6.37630000E+4	4.14430000E+4	3.78100000E+4	4.59560000E+4	7.01990000E+4	7.20470000E+4	8.86460000E+4	7.06020000E+4	5.75470000E+4	6.76130000E+4	6.51650000E+4	4.31330000E+4	3.49780000E+4	3.50770000E+4	2.88740000E+4	1.74640000E+4	9.96300000E+3	
655.00	3.99220000E+4	4.84940000E+4	5.65430000E+4	6.23350000E+4	7.55150000E+4	6.67930000E+4	4.35960000E+4	4.04080000E+4	4.82820000E+4	7.44490000E+4	7.62110000E+4	8.99130000E+4	7.31910000E+4	6.04750000E+4	7.08730000E+4	6.83510000E+4	4.61350000E+4	3.67160000E+4	3.72400000E+4	3.03610000E+4	1.83770000E+4	1.02980000E+4	
656.00	4.14390000E+4	5.12970000E+4	5.89030000E+4	6.56680000E+4	7.85480000E+4	6.98500000E+4	4.55690000E+4	4.15130000E+4	5.10640000E+4	7.74270000E+4	7.98900000E+4	9.39550000E+4	7.72970000E+4	6.37030000E+4	7.40690000E+4	7.16010000E+4	4.76110000E+4	3.85350000E+4	3.93780000E+4	3.23500000E+4	1.81250000E+4	1.08100000E+4	
657.00	4.32970000E+4	5.30230000E+4	6.11680000E+4	6.76540000E+4	8.11850000E+4	7.23590000E+4	4.78270000E+4	4.36410000E+4	5.32250000E+4	8.04500000E+4	8.37740000E+4	9.61400000E+4	8.13070000E+4	6.46650000E+4	7.67000000E+4	7.41850000E+4	5.01890000E+4	4.06020000E+4	4.11560000E+4	3.54840000E+4	1.91190000E+4	1.13800000E+4	
658.00	4.48160000E+4	5.49140000E+4	6.25110000E+4	6.91520000E+4	8.25790000E+4	7.48080000E+4	4.92550000E+4	4.51730000E+4	5.45470000E+4	8.32950000E+4	8.60330000E+4	1.00223000E+5	8.37460000E+4	6.21940000E+4	7.96270000E+4	7.72660000E+4	5.21590000E+4	3.80220000E+4	4.30070000E+4	3.84140000E+4	2.05130000E+4	1.19520000E+4	
